text,created_at,is_retweet,source,clean_text,clean_text_with_stopwords
Giving too much power to a one-size-fits-all agency is the wrong approach on HC reform. More from Broder: http://tinyurl.com/broderIMAC,Tue Jul 28 02:24:10 +0000 2009,False,other,giving much power one size fits agency wrong approach hc reform broder,giving too much power to a one size fits all agency is the wrong approach on hc reform more from broder
Spoke with Bernanke at House Budget Committee hearing: http://www.house.gov/ryan/video/6309frcb.htm,Thu Jun 04 21:30:52 +0000 2009,False,other,spoke bernanke house budget committee hearing,spoke with bernanke at house budget committee hearing
Washington’s spending binge has made a bad situation even worse - http://tinyurl.com/RYANonMSR,Tue Aug 25 23:42:09 +0000 2009,False,other,washington spending binge made bad situation even worse,washington s spending binge has made a bad situation even worse
Of interest: http://www.healthcareletter.com/,Tue Sep 08 13:46:57 +0000 2009,False,other,interest,of interest
"Feldstein argues failure to ""address exploding path of fiscal deficits would be morally irresponsible."" WSJ: http://tinyurl.com/9-8-09-wsj",Tue Sep 08 14:14:44 +0000 2009,False,other,feldstein argues failure address exploding path fiscal deficits would morally irresponsible wsj,feldstein argues failure to address exploding path of fiscal deficits would be morally irresponsible wsj
Analysis of the 1st 100 Days and the Budget: http://tinyurl.com/d6nsab,Tue Apr 28 14:31:52 +0000 2009,False,other,analysis st days budget,analysis of the st days and the budget
Analysis of Obama's FY2010 Budget Proposal: http://tinyurl.com/bdfaay,Fri Feb 27 19:17:42 +0000 2009,False,other,analysis obama fy budget proposal,analysis of obama s fy budget proposal
"From House floor: ""What side of history do you want to be on?"" http://bit.ly/2uTtjO",Sat Nov 07 22:01:34 +0000 2009,False,other,house floor side history want,from house floor what side of history do you want to be on
Pictures from Eagle Listening Session earlier today: http://www.jsonline.com/multimedia/photos/54602337.html,Mon Aug 24 23:23:11 +0000 2009,False,other,pictures eagle listening session earlier today,pictures from eagle listening session earlier today
"Op-ed in today's Janesville Gazette: ""Wisconsin Deserves Better"" - http://www.house.gov/ryan/JG020909.htm",Mon Feb 09 22:19:47 +0000 2009,False,other,op ed today janesville gazette wisconsin deserves better,op ed in today s janesville gazette wisconsin deserves better
WI Republican delegation on HC overhaul: http://bit.ly/jnjq9,Tue Nov 03 20:00:01 +0000 2009,False,other,wi republican delegation hc overhaul,wi republican delegation on hc overhaul
Spoke with Stan Milam in Jvl earlier today: http://bit.ly/1dT8yj,Tue Nov 03 17:21:44 +0000 2009,False,other,spoke stan milam jvl earlier today,spoke with stan milam in jvl earlier today
Insights from Charles Murray: http://tinyurl.com/AEImurrayspeech,Fri Mar 13 21:31:23 +0000 2009,False,other,insights charles murray,insights from charles murray
"2,034 page, $3 trillion HC overhaul passes House late Sat night  http://bit.ly/369lbd",Sun Nov 08 04:30:39 +0000 2009,False,other,page trillion hc overhaul passes house late sat night,page trillion hc overhaul passes house late sat night
"Video of Rochester town hall (WITI-TV, FOX6): http://bit.ly/151PD2",Fri Aug 28 22:11:32 +0000 2009,False,other,video rochester town hall witi tv fox,video of rochester town hall witi tv fox
Learn more about my alternative budget: http://www.house.gov/ryan/press_releases/2009pressreleases/4109HRAB.htm,Wed Apr 01 16:45:24 +0000 2009,False,other,learn alternative budget,learn more about my alternative budget
More from UpFront with Mike Gousha on health care debate: http://www.wisn.com/video/19617293/,Mon Jun 01 15:07:26 +0000 2009,False,other,upfront mike gousha health care debate,more from upfront with mike gousha on health care debate
I encourage you to read this - pretty sobering: http://online.wsj.com/article/SB20001424052748704431804574539792069224238.html,Tue Nov 17 21:31:04 +0000 2009,False,other,encourage read pretty sobering,i encourage you to read this pretty sobering
What we need today are more Jack Kemps. http://bit.ly/45YVuP,Thu Oct 22 14:37:15 +0000 2009,False,other,need today jack kemps,what we need today are more jack kemps
Obama's budget is more liberal than Congress’ most liberal: http://tinyurl.com/cou5ah,Thu Mar 05 15:22:01 +0000 2009,False,other,obama budget liberal congress liberal,obama s budget is more liberal than congress most liberal
Budget Document on the Growing Federal Bureaucracy: http://bit.ly/21Drxb,Wed Sep 30 14:19:33 +0000 2009,False,other,budget document growing federal bureaucracy,budget document on the growing federal bureaucracy
BUDGET ALERT - Introduced 'The Budget Control Act of 2009': http://bit.ly/Qqapm,Wed Jul 22 16:23:50 +0000 2009,False,other,budget alert introduced budget control act,budget alert introduced the budget control act of
Fix what's broken; don't break what's working.  Video from Fox News Sunday: http://tinyurl.com/PRyanFNS,Sun Aug 23 20:59:42 +0000 2009,False,other,fix broken break working video fox news sunday,fix what s broken don t break what s working video from fox news sunday
Read the Bill Text of House Leadership’s Health Care Overhaul: http://www.house.gov/ryan/readthehousebill.pdf,Fri Oct 30 16:47:59 +0000 2009,False,other,read bill text house leadership health care overhaul,read the bill text of house leadership s health care overhaul
BUDGET ALERT - The latest Budget Boondoggle Award: http://bit.ly/Uvg4m,Thu Jul 30 19:56:37 +0000 2009,False,other,budget alert latest budget boondoggle award,budget alert the latest budget boondoggle award
An insightful piece into the thinking of the architect's of the administration's health care plan - http://tinyurl.com/wsjBMcCaugheyOpEd,Thu Aug 27 15:58:50 +0000 2009,False,other,insightful piece thinking architect administration health care plan,an insightful piece into the thinking of the architect s of the administration s health care plan
"Wrote op-ed with friends Coburn, Burr, and Nunes on Patients' Choice Act: http://tinyurl.com/PCAoped",Wed May 20 18:26:59 +0000 2009,False,other,wrote op ed friends coburn burr nunes patients choice act,wrote op ed with friends coburn burr and nunes on patients choice act
Spoke with Mike Gousha in Milwaukee last night in response to Obama's ABC prime-time special: http://www.wisn.com/video/19852579/index.html,Thu Jun 25 11:55:16 +0000 2009,False,other,spoke mike gousha milwaukee last night response obama abc prime time special,spoke with mike gousha in milwaukee last night in response to obama s abc prime time special
"On CNN - Washington spending is slow, wasteful, and ineffective: http://bit.ly/17mdN5",Mon Jul 13 16:52:46 +0000 2009,False,other,cnn washington spending slow wasteful ineffective,on cnn washington spending is slow wasteful and ineffective
Lead or Follow? America’s Challenge in the Global Economy: http://www.journaltimes.com/paul_ryan/post.php?idvar=68,Fri Apr 24 18:55:04 +0000 2009,False,other,lead follow america challenge global economy,lead or follow america s challenge in the global economy
Weekly Republican Address: http://www.youtube.com/watch?v=Ogjelb6bPHM,Sat Apr 04 16:37:06 +0000 2009,False,other,weekly republican address,weekly republican address
'Costly Counting': The 2010 Census receives the latest Budget Boondoggle Award: http://tinyurl.com/2010census,Tue May 12 20:46:17 +0000 2009,False,other,costly counting census receives latest budget boondoggle award,costly counting the census receives the latest budget boondoggle award
"BUDGET ALERT - ""A Facade of Fiscal Responsibility"": http://bit.ly/Xsro2",Wed Jul 22 16:20:02 +0000 2009,False,other,budget alert facade fiscal responsibility,budget alert a facade of fiscal responsibility
Spoke with Jay Weber about Obama's Budget Proposal this morning: http://tinyurl.com/Paul-JayWeber,Fri Feb 27 20:11:28 +0000 2009,False,other,spoke jay weber obama budget proposal morning,spoke with jay weber about obama s budget proposal this morning
"""Ryan draws inspiration from family, mentors"" - http://www.jsonline.com/news/statepolitics/43705747.html",Sun Apr 26 17:34:02 +0000 2009,False,other,ryan draws inspiration family mentors,ryan draws inspiration from family mentors
Highlights from Kenosha Listening Session from MacIver Institute: http://bit.ly/TMXm7,Fri Aug 28 22:12:48 +0000 2009,False,other,highlights kenosha listening session maciver institute,highlights from kenosha listening session from maciver institute
Reaction to Obama's FY2010 Budget Proposal: http://tinyurl.com/agkz3p,Fri Feb 27 19:16:56 +0000 2009,False,other,reaction obama fy budget proposal,reaction to obama s fy budget proposal
Samuelson's right: both parties responsible for fiscal mess (http://tinyurl.com/RScolumn). Solution: www.americanroadmap.org,Mon Jul 13 13:38:28 +0000 2009,False,other,samuelson right parties responsible fiscal mess solution www americanroadmap org,samuelson s right both parties responsible for fiscal mess solution www americanroadmap org
"""Making History"" Misses the Mark: http://bit.ly/2D2eh1",Thu Nov 05 16:05:06 +0000 2009,False,other,making history misses mark,making history misses the mark
11am tomorrow at Franklin Library to deliver Speaker Pelosi's 2000 pg HC overhaul: http://bit.ly/ohVzx,Thu Oct 29 22:00:31 +0000 2009,False,other,tomorrow franklin library deliver speaker pelosi pg hc overhaul,am tomorrow at franklin library to deliver speaker pelosi s pg hc overhaul
BUDGET ALERT: A New Trillion Dollar Health Care Entitlement: http://bit.ly/37A7N,Fri Jul 17 01:41:04 +0000 2009,False,other,budget alert new trillion dollar health care entitlement,budget alert a new trillion dollar health care entitlement
Spoke with Katie Couric about the GOP: http://tinyurl.com/cmnwlp,Thu Apr 30 14:23:01 +0000 2009,False,other,spoke katie couric gop,spoke with katie couric about the gop
Q&A with Bernanke: http://www.house.gov/ryan/video/6309frcb2.htm,Thu Jun 04 21:31:27 +0000 2009,False,other,q bernanke,q a with bernanke
On MSNBC with Katrina vanden Heuvel: Let's have an honest debate - http://bit.ly/jPik7,Wed Jul 29 18:59:42 +0000 2009,False,other,msnbc katrina vanden heuvel let honest debate,on msnbc with katrina vanden heuvel let s have an honest debate
Budget Analysis: The Costs of Cap and Trade - http://tinyurl.com/HBCanalysisCapAndTrade,Thu Jul 09 22:51:31 +0000 2009,False,other,budget analysis costs cap trade,budget analysis the costs of cap and trade
Teaming up with Russ Feingold on the line-item veto to cut wasteful spending: http://www.jsonline.com/news/opinion/40567012.html,Tue Mar 03 14:40:27 +0000 2009,False,other,teaming russ feingold line item veto cut wasteful spending,teaming up with russ feingold on the line item veto to cut wasteful spending
Keith Hennessey's response to the President’s health care reform email: http://bit.ly/zRxdG,Thu Jul 30 19:10:39 +0000 2009,False,other,keith hennessey response president health care reform email,keith hennessey s response to the president s health care reform email
What Washington doesn't want you to know: http://bit.ly/11UUZO,Tue Oct 27 20:10:14 +0000 2009,False,other,washington want know,what washington doesn t want you to know
Honoring Jack Kemp on the House floor: http://bit.ly/HRTx5,Wed May 06 22:12:43 +0000 2009,False,other,honoring jack kemp house floor,honoring jack kemp on the house floor
HC's Moment of Untruth - op-ed w/ Sen Coburn in today's IBD: http://bit.ly/3dfnjq,Wed Nov 04 14:10:43 +0000 2009,False,other,hc moment untruth op ed w sen coburn today ibd,hc s moment of untruth op ed w sen coburn in today s ibd
"Peggy Noonan's latest - ""There Is No New Frontier"", WSJ - http://online.wsj.com/article/SB10001424052748704322004574475551644400192.html",Fri Oct 16 14:00:11 +0000 2009,False,other,peggy noonan latest new frontier wsj,peggy noonan s latest there is no new frontier wsj
Jack Kemp’s Legacy and the Challenge to the Next Generation (speech text): http://tinyurl.com/KempSpeech,Thu Oct 22 16:03:22 +0000 2009,False,other,jack kemp legacy challenge next generation speech text,jack kemp s legacy and the challenge to the next generation speech text
Recap of visit to Franklin: http://bit.ly/3jEhVM,Fri Oct 30 21:35:00 +0000 2009,False,other,recap visit franklin,recap of visit to franklin
On the House floor: http://www.house.gov/ryan/video/21309FS.htm,Fri Feb 13 21:07:43 +0000 2009,False,other,house floor,on the house floor
Bad news for Milwaukee: http://bit.ly/lraJk,Thu Jul 16 19:24:02 +0000 2009,False,other,bad news milwaukee,bad news for milwaukee
Full Report - Republican Budget Alternative: http://www.house.gov/budget_republicans/press/2007/pr20090401_gopbudget_summary.pdf,Wed Apr 01 16:46:30 +0000 2009,False,other,full report republican budget alternative,full report republican budget alternative
Spoke with Chris Wallace on FoxNewsSunday: http://tinyurl.com/paulryanonFNS,Mon Jun 22 13:07:38 +0000 2009,False,other,spoke chris wallace foxnewssunday,spoke with chris wallace on foxnewssunday
Inaction on entitlement reform is no longer an option: http://www.startribune.com/opinion/commentary/45352847.html,Tue May 19 15:27:20 +0000 2009,False,other,inaction entitlement reform longer option,inaction on entitlement reform is no longer an option
"Larger venues set for Mon, 8/31 for Big Bend, New Berlin (Greenfield), and Greendale. For new locations: http://www.house.gov/ryan/",Thu Aug 27 13:59:17 +0000 2009,False,other,larger venues set mon big bend new berlin greenfield greendale new locations,larger venues set for mon for big bend new berlin greenfield and greendale for new locations
HC update: http://www.journaltimes.com/app/paul_ryan/post.php?id=152,Mon Dec 21 19:01:51 +0000 2009,False,other,hc update,hc update
"Location change for Jvl town hall to accomodate record turnout: Craig High School, Large Auditorium - 401 S Randall Ave - 8/26 at 3:30 pm",Mon Aug 24 23:27:31 +0000 2009,False,other,location change jvl town hall accomodate record turnout craig high school large auditorium randall ave pm,location change for jvl town hall to accomodate record turnout craig high school large auditorium s randall ave at pm
Spoke about my alternative vision to restore America's promise and prosperity at CATO Institute: http://tinyurl.com/chlllt,Fri Apr 10 14:45:35 +0000 2009,False,other,spoke alternative vision restore america promise prosperity cato institute,spoke about my alternative vision to restore america s promise and prosperity at cato institute
Video from Fox News Sunday: http://tinyurl.com/bjje2y,Mon Mar 02 16:54:23 +0000 2009,False,other,video fox news sunday,video from fox news sunday
Jack Kemp and the Spirit of Lincoln: http://bit.ly/cDXuY,Wed May 06 22:11:56 +0000 2009,False,other,jack kemp spirit lincoln,jack kemp and the spirit of lincoln
Spoke with Mike Gousha about Janesville and Kenosha: http://www.wisn.com/video/19604085/,Mon Jun 01 15:06:03 +0000 2009,False,other,spoke mike gousha janesville kenosha,spoke with mike gousha about janesville and kenosha
Full video of Walworth Listening Session from Wisconsin Eye: http://preview.tinyurl.com/WIeye,Fri Aug 28 22:12:20 +0000 2009,False,other,full video walworth listening session wisconsin eye,full video of walworth listening session from wisconsin eye
Spoke with Bill Bennett this morning: http://www.house.gov/ryan/audio/111th/72909BM.htm,Wed Jul 29 17:00:57 +0000 2009,False,other,spoke bill bennett morning,spoke with bill bennett this morning
Regarding the transfer of terrorists to Northern IL: http://www.facebook.com/note.php?note_id=199826532447,Tue Nov 17 23:28:33 +0000 2009,False,other,regarding transfer terrorists northern il,regarding the transfer of terrorists to northern il
From the steps of the U.S. Capitol - Saturday Night Live - http://bit.ly/3bdPZE,Sun Nov 08 02:41:27 +0000 2009,False,other,steps u capitol saturday night live,from the steps of the u s capitol saturday night live
Does health care bill meet the Administration’s test of being deficit neutral? Let's ask CBO: http://bit.ly/Bt2gy,Thu Jul 16 19:15:52 +0000 2009,False,other,health care bill meet administration test deficit neutral let ask cbo,does health care bill meet the administration s test of being deficit neutral let s ask cbo
A Budget Process to Match America's Budget Priorities: http://www.heritage.org/Research/Budget/wm2669.cfm,Fri Oct 30 17:42:31 +0000 2009,False,other,budget process match america budget priorities,a budget process to match america s budget priorities
"Thoughts on ""stimulus"": http://tinyurl.com/paul-on-stim and http://tinyurl.com/paul-on-altstim",Thu Feb 05 18:31:47 +0000 2009,False,other,thoughts stimulus,thoughts on stimulus and
Washington's economic agenda: http://www.youtube.com/watch?v=rsq1WLXlnZo,Mon Dec 14 16:13:25 +0000 2009,False,other,washington economic agenda,washington s economic agenda
Crony capitalism is back: http://www.forbes.com/2009/12/11/business-government-politics-reform-opinions-contributors-paul-ryan.html,Fri Dec 11 16:41:36 +0000 2009,False,other,crony capitalism back,crony capitalism is back
When you repeal sound economic policies you repeal their results. From today's WSJ: http://tinyurl.com/WSJ-11-20-09,Fri Nov 20 13:50:14 +0000 2009,False,other,repeal sound economic policies repeal results today wsj,when you repeal sound economic policies you repeal their results from today s wsj
Spoke with WCLO's Stan Milam: http://podcast.wclo.com/milamtueb3242009.mp3,Tue Mar 24 22:35:19 +0000 2009,False,other,spoke wclo stan milam,spoke with wclo s stan milam
Senator Coburn puts it well in the Huffington Post: http://bit.ly/uqL63,Tue Jun 09 16:51:15 +0000 2009,False,other,senator coburn puts well huffington post,senator coburn puts it well in the huffington post
"""A Closer Look at H.R. 3200"" - the first 71 pages of the health care overhaul: http://bit.ly/1jXXUM",Tue Aug 04 18:39:21 +0000 2009,False,other,closer look h r first pages health care overhaul,a closer look at h r the first pages of the health care overhaul
Spoke on CNBC's Squawk Box this morning about the budget: http://tinyurl.com/df5mzp,Thu Mar 05 15:06:56 +0000 2009,False,other,spoke cnbc squawk box morning budget,spoke on cnbc s squawk box this morning about the budget
http://tinyurl.com/d9g5gh - I hope that I'm wrong. I hope that history and evidence are not the right guides.,Tue Feb 17 17:31:10 +0000 2009,False,other,hope wrong hope history evidence right guides,i hope that i m wrong i hope that history and evidence are not the right guides
Memorial Day Remarks in Racine: Exceptional Heroes of an Exceptional Nation - http://bit.ly/J7zRd,Tue May 26 14:25:12 +0000 2009,False,other,memorial day remarks racine exceptional heroes exceptional nation,memorial day remarks in racine exceptional heroes of an exceptional nation
BUDGET ALERT: Updated Budget Estimates - growing deficits and debt - full analysis: http://tinyurl.com/HBConMSR,Tue Aug 25 23:43:41 +0000 2009,False,other,budget alert updated budget estimates growing deficits debt full analysis,budget alert updated budget estimates growing deficits and debt full analysis
"We need to reform health care, but we need to do it right. On PBS' NewsHour w/ Jim Lehrer: http://tinyurl.com/PRyanPBS",Wed Jul 22 12:44:04 +0000 2009,False,other,need reform health care need right pbs newshour w jim lehrer,we need to reform health care but we need to do it right on pbs newshour w jim lehrer
Today's WSJ - A Republican Road to Economic Recovery: http://online.wsj.com/article/SB123595257066605147.html,Mon Mar 02 13:13:29 +0000 2009,False,other,today wsj republican road economic recovery,today s wsj a republican road to economic recovery
Boehner on President’s request for bipartisan budget proposals: http://gopleader.gov/News/DocumentSingle.aspx?DocumentID=114981,Wed Mar 18 13:57:12 +0000 2009,False,other,boehner president request bipartisan budget proposals,boehner on president s request for bipartisan budget proposals
"After ABC's WH health care special, I'll talk health care with Mike Gousha at 10 pm CT on WISN-TV in Mke: http://tinyurl.com/PRwisn",Thu Jun 25 00:56:57 +0000 2009,False,other,abc wh health care special talk health care mike gousha pm ct wisn tv mke,after abc s wh health care special i ll talk health care with mike gousha at pm ct on wisn tv in mke
Saturday's keynote address at VFW induction ceremony for Tommy Tradewell in Milwaukee: http://tinyurl.com/9-12-09-VFW,Mon Sep 14 14:58:47 +0000 2009,False,other,saturday keynote address vfw induction ceremony tommy tradewell milwaukee,saturday s keynote address at vfw induction ceremony for tommy tradewell in milwaukee
For more on budget reconciliation and my efforts to stop unprecedented expansion of federal govt: http://tinyurl.com/RyanMTI,Thu Apr 23 15:02:35 +0000 2009,False,other,budget reconciliation efforts stop unprecedented expansion federal govt,for more on budget reconciliation and my efforts to stop unprecedented expansion of federal govt
Budget debate represents a huge moment for America: http://tinyurl.com/dzzcv7,Wed Apr 22 22:45:32 +0000 2009,False,other,budget debate represents huge moment america,budget debate represents a huge moment for america
WI 1st CD students seeking nominations to U.S. Service Academies are encouraged to apply by Nov 1. For more: http://tinyurl.com/PRacademies,Tue Sep 29 16:54:00 +0000 2009,False,other,wi st cd students seeking nominations u service academies encouraged apply nov,wi st cd students seeking nominations to u s service academies are encouraged to apply by nov for more
"An Open Letter to my Employers, the Residents of WI's 1st CD: http://bit.ly/dEAGr",Thu Aug 20 01:14:49 +0000 2009,False,other,open letter employers residents wi st cd,an open letter to my employers the residents of wi s st cd
Discussed health care with Howard Dean: http://bit.ly/nmRgL,Mon Jul 20 18:43:28 +0000 2009,False,other,discussed health care howard dean,discussed health care with howard dean
"Robert Samuelson reminds us that ""reform"" may do exactly the opposite of what the President promises: http://tinyurl.com/RScolumnRCP",Tue Jul 28 12:07:17 +0000 2009,False,other,robert samuelson reminds us reform may exactly opposite president promises,robert samuelson reminds us that reform may do exactly the opposite of what the president promises
Video of Racine listening session from WISN-TV (Ch 12 in MKE): http://www.wisn.com/video/20589853/index.html,Fri Aug 28 22:11:58 +0000 2009,False,other,video racine listening session wisn tv ch mke,video of racine listening session from wisn tv ch in mke
Press conference on budget: http://tinyurl.com/cbxfsk,Tue Mar 24 17:42:47 +0000 2009,False,other,press conference budget,press conference on budget
"Continuing push for better health care solutions: 
http://bit.ly/QC6Nk",Fri Nov 06 13:36:35 +0000 2009,False,other,continuing push better health care solutions,continuing push for better health care solutions
Choice facing Blue Dog Dems today on the House floor: Their Party or The People? http://bit.ly/37Is5U,Sat Nov 07 14:29:19 +0000 2009,False,other,choice facing blue dog dems today house floor party people,choice facing blue dog dems today on the house floor their party or the people
A Choice of Two Futures - what kind of an America do we want? http://bit.ly/llQc9,Thu Jun 04 21:26:08 +0000 2009,False,other,choice two futures kind america want,a choice of two futures what kind of an america do we want
CBO warns that deficits could grow by more than $1 trillion with higher interest rates - http://tinyurl.com/trilliondollardeficits,Thu Jul 09 23:05:39 +0000 2009,False,other,cbo warns deficits could grow trillion higher interest rates,cbo warns that deficits could grow by more than trillion with higher interest rates
Making the case for free enterprise: http://bit.ly/ppULJ,Tue Oct 13 20:41:31 +0000 2009,False,other,making case free enterprise,making the case for free enterprise
Who will control HC? Docs/patients or politicians/regulators? The choice is clear: http://online.wsj.com/article/SB124277551107536875.html,Wed May 20 03:45:03 +0000 2009,False,other,control hc docs patients politicians regulators choice clear,who will control hc docs patients or politicians regulators the choice is clear
Spoke with Diane Sawyer on Good Morning America (editing makes it a little choppy): http://bit.ly/ExhMY,Thu Jun 25 13:09:21 +0000 2009,False,other,spoke diane sawyer good morning america editing makes little choppy,spoke with diane sawyer on good morning america editing makes it a little choppy
War Games in the President's budget: http://tinyurl.com/dishonestbudgeting,Fri Mar 13 21:27:51 +0000 2009,False,other,war games president budget,war games in the president s budget
MacIver Institute's take (w/ video from Racine): http://bit.ly/19VZ8H,Fri Aug 28 00:21:53 +0000 2009,False,other,maciver institute take w video racine,maciver institute s take w video from racine
BUDGET ALERT: A Costly Government Takeover of Americans' Health Care - http://tinyurl.com/HBChr3962,Tue Nov 03 22:29:38 +0000 2009,False,other,budget alert costly government takeover americans health care,budget alert a costly government takeover of americans health care
We need to cut spending! Holy Cow! A novel idea in Washington: http://www.youtube.com/watch?v=kUYhVhfyNkU,Fri Apr 03 16:02:39 +0000 2009,False,other,need cut spending holy cow novel idea washington,we need to cut spending holy cow a novel idea in washington
"Wasn't read, wasn't scored, but HC overhaul passed W/M Cmte. ""A Reckless Congress"": http://online.wsj.com/article/SB124779717982855785.html",Fri Jul 17 12:19:38 +0000 2009,False,other,read scored hc overhaul passed w cmte reckless congress,wasn t read wasn t scored but hc overhaul passed w m cmte a reckless congress
"Great piece by Pat McIlheran in yesterday's MJS: ""Who's your daddy? Uncle Sam"" - http://www.jsonline.com/news/opinion/70022537.html",Mon Nov 16 21:14:40 +0000 2009,False,other,great piece pat mcilheran yesterday mjs daddy uncle sam,great piece by pat mcilheran in yesterday s mjs who s your daddy uncle sam
"Medicare Advantage - ""Broken Promises to Wisconsin Seniors, Take Two"": http://bit.ly/6Jipf",Thu Oct 01 16:57:41 +0000 2009,False,other,medicare advantage broken promises wisconsin seniors take two,medicare advantage broken promises to wisconsin seniors take two
Spoke at CPAC yesterday: http://tinyurl.com/al6vuq,Fri Feb 27 20:26:03 +0000 2009,False,other,spoke cpac yesterday,spoke at cpac yesterday
Will talk with Brian and the Judge at 10:35 am ET. To listen live: http://www.foxnews.com/radio/brianandthejudge/,Wed Jul 29 14:09:16 +0000 2009,False,other,talk brian judge et listen live,will talk with brian and the judge at am et to listen live
Spoke with Bob and Brian this morning: http://tinyurl.com/PRonBobBrian (http://tinyurl.com/bobandbrian),Mon Feb 23 20:43:51 +0000 2009,False,other,spoke bob brian morning,spoke with bob and brian this morning
From House floor - speaking out against cynical fiscal shell game - http://www.youtube.com/watch?v=OhjRbE1blBk,Thu Nov 19 20:48:31 +0000 2009,False,other,house floor speaking cynical fiscal shell game,from house floor speaking out against cynical fiscal shell game
On CNBC's Squawk Box this morning to talk health care: http://tinyurl.com/6-24-09-CNBC,Wed Jun 24 13:34:06 +0000 2009,False,other,cnbc squawk box morning talk health care,on cnbc s squawk box this morning to talk health care
Reminder: Tele-Town Hall on Health Care at 6 pm CT tonight. http://fixhealthcarepolicy.com/,Tue Jun 09 19:13:41 +0000 2009,False,other,reminder tele town hall health care pm ct tonight,reminder tele town hall on health care at pm ct tonight
"Spoke with Rick Sense about health care, spending, & battle over the American idea: http://www.theinsidescoop.us/PR.wma",Mon Oct 26 17:49:01 +0000 2009,False,other,spoke rick sense health care spending battle american idea,spoke with rick sense about health care spending battle over the american idea
Health care policy forum webcast starting momentarily: http://bit.ly/R6kZc,Wed Jul 22 12:57:40 +0000 2009,False,other,health care policy forum webcast starting momentarily,health care policy forum webcast starting momentarily
"The Economist notes, ""Mr Ryan offers brave and obvious proposals to fix the budget..."" - http://tinyurl.com/econdebt",Wed Jun 10 17:24:03 +0000 2009,False,other,economist notes mr ryan offers brave obvious proposals fix budget,the economist notes mr ryan offers brave and obvious proposals to fix the budget
Preview of GOP budget alternative: http://tinyurl.com/djola7,Tue Mar 31 18:34:56 +0000 2009,False,other,preview gop budget alternative,preview of gop budget alternative
Malpass in today's WSJ: http://online.wsj.com/article/SB10001424052748704007804574573774057713530.html,Fri Dec 04 18:08:31 +0000 2009,False,other,malpass today wsj,malpass in today s wsj
