source,created_at,text,is_retweet,id_str
Twitter Web Client,Tue Mar 21 17:46:53 +0000 2017,RT @GorsuchFacts: America needs Judge Gorsuch on #SCOTUS: https://t.co/6z8RkXys4q #ConfirmGorsuch https://t.co/5H0rkNUSGh,True,844243934641623040
Twitter Web Client,Sat Mar 25 18:10:09 +0000 2017,Happy #MedalOfHonorDay to our heroes: https://t.co/7vrzYLpUOL https://t.co/A7IYSlRgoc,False,845699338957414402
Twitter Web Client,Tue Mar 07 22:10:58 +0000 2017,The application period for the Summer 2017 White House Internship Program is now open. Get more info:… https://t.co/P0088GNZhr,False,839236960954777600
Twitter Web Client,Fri Jan 20 20:17:58 +0000 2017,Join us in congratulating @VP Pence on his #Inauguration as the 48th Vice-President of the United States of America! https://t.co/BC345hiKjM,False,822538681764417537
Twitter Web Client,Fri Feb 03 22:09:28 +0000 2017,"It's been another historic week at the White House. Tune in NOW for @POTUS Trump's second weekly address! 
https://t.co/QTXUMc1eoY",False,827640171814322180
Twitter for iPhone,Mon Jan 23 23:21:41 +0000 2017,"RT @VP: Proud to stand w/ President Trump signing EOs: withdrawing US from TPP, prohibiting int'l abortion funding &amp; freezing hiring except…",True,823672078696153088
TweetDeck,Wed Mar 01 02:53:17 +0000 2017,#JointAddress #AmericanSpirit https://t.co/GzRoTuIOGs,False,836771292451864576
Twitter Web Client,Fri Jan 27 14:06:04 +0000 2017,Today we celebrate one week since making history with the swearing-in of @POTUS Trump and @VP Pence! Watch➡️… https://t.co/slHPsqRlFT,False,824981805635874817
TweetDeck,Wed Mar 01 17:18:18 +0000 2017,.@CongressmanHice on last night's #JointAddress https://t.co/VBsU7MRHff,False,836988981392867328
Twitter Web Client,Mon Mar 13 20:56:30 +0000 2017,RT @POTUS: Proud to welcome our great Cabinet members to the @WhiteHouse this afternoon with @VP Pence. https://t.co/nwnSqk8wST,True,841392548073603072
Twitter Web Client,Wed Feb 01 01:01:43 +0000 2017,"RT @realDonaldTrump: Join me live from the @WhiteHouse.
https://t.co/LHOs4nAaGl",True,826596356336803840
Twitter Web Client,Sat Jan 21 19:53:03 +0000 2017,"RT @POTUS: I am honored to serve you, the great American People, as your 45th President of the United States! https://t.co/BVtt7lSrlA",True,822894797912477696
Twitter for iPhone,Mon Feb 13 22:20:44 +0000 2017,Joint Statement from President Donald J. Trump and Prime Minister Justin Trudeau: https://t.co/MmsGJgUI3c https://t.co/xzP3efrplU,False,831266888189693952
Twitter for iPhone,Tue Feb 07 16:27:12 +0000 2017,RT @realDonaldTrump: An honor having the National Sheriffs' Assoc. join me at the @WhiteHouse. Incredible men &amp; women who protect &amp; serve 2…,True,829003590782111744
Media Studio,Tue Mar 14 23:02:04 +0000 2017,Stories like Mr. Summers' are why @POTUS is fighting to #RepealAndReplace #Obamacare. Share your story here:… https://t.co/5P0ikUi6PX,False,841786535909314560
TweetDeck,Wed Mar 01 05:02:03 +0000 2017,.@RepRichHudson on tonight's #JointAddress https://t.co/LglqbZxXd6,False,836803697950732288
TweetDeck,Wed Mar 01 04:12:49 +0000 2017,.@SenCapito on tonight's #JointAddress https://t.co/FcYnNheGVG,False,836791307884462080
Twitter for iPhone,Wed Feb 01 04:25:01 +0000 2017,"RT @POTUS: President Donald J. Trump Nominates Judge Neil Gorsuch to the United States Supreme Court
#JusticeGorsuch #SCOTUS 
https://t.co/…",True,826647518322819072
Twitter Web Client,Sun Jan 29 17:53:33 +0000 2017,RT @POTUS: Presidential Memorandum Plan to Defeat the Islamic State of Iraq and Syria: https://t.co/MWvPlRQ8ZI https://t.co/1IkgK8wEWF,True,825763830395449345
TweetDeck,Wed Mar 01 04:38:42 +0000 2017,RT @MikeCrapo: My response to @POTUS #JointAddress to Congress tonight. https://t.co/SKHo6u51KS,True,836797823865729024
Twitter for iPhone,Tue Jan 31 19:12:19 +0000 2017,RT @POTUS: Today I met with pharmaceutical executives at the @WhiteHouse...https://t.co/T1L7e8pHG1 https://t.co/MDr9b7rBhN,True,826508426817708032
TweetDeck,Wed Mar 01 02:12:06 +0000 2017,This is the #AmericanSpirit. #JointAddress https://t.co/OgllGrPTe9,False,836760929215918081
Twitter Web Client,Wed Feb 01 01:18:24 +0000 2017,"RT @VP: Judge Gorsuch is one of the most mainstream, respected, and exceptionally qualified Supreme Court nominees in American history.",True,826600556621885442
TweetDeck,Mon Apr 17 12:56:06 +0000 2017,LIVE coverage from the South Lawn at the #EasterEggRoll: https://t.co/Q6DgXsmV4T https://t.co/EeKzzto6LC,False,853955226461769728
Twitter Web Client,Mon Jan 30 22:56:51 +0000 2017,RT @VP: Grateful to welcome King Abdullah II of Jordan this morning as first foreign leader to visit VP Residence. https://t.co/LXjWcD8jRi,True,826202544867250176
Twitter Web Client,Wed Feb 01 01:28:30 +0000 2017,"RT @GorsuchFacts: .@POTUS Trump has chosen a #SCOTUS with a brilliant legal mind, sterling academic credentials, &amp; a commitment to constitu…",True,826603098072297472
Twitter Web Client,Mon Mar 13 17:48:54 +0000 2017,RT @POTUS: Everyone along the east coast be safe and listen to local officials as a major winter storm approaches. @NWS https://t.co/NXfRqQ…,True,841345339231784961
Twitter Web Client,Wed Feb 01 01:24:24 +0000 2017,"""Judge Gorsuch has a superb intellect, an unparalleled legal edu, and a commitment to interpreting the Constitution… https://t.co/ErtgG1YeQr",False,826602063916326912
Media Studio,Fri Mar 17 21:47:02 +0000 2017,Don’t miss your chance to attend the 139th Easter Egg Roll hosted by @POTUS &amp; @FLOTUS. Enter ticket lottery here:… https://t.co/sTRPBHSFmo,False,842854817236054016
Twitter for iPhone,Mon Apr 03 21:26:50 +0000 2017,"RT @VP: Hello, @instagram! The official account for the VP's office is up. Follow it and stay tuned for more photos -&gt; https://t.co/kWy52D3…",True,849010328373481472
TweetDeck,Wed Mar 01 17:43:19 +0000 2017,.@RepEvanJenkins on last night's #JointAddress https://t.co/qVlFxVoXyV,False,836995276074266626
SnappyTV.com,Mon Mar 13 17:44:54 +0000 2017,Today @POTUS lead an #Obamacare listening session with @VP &amp; @SecPriceMD. Now is the time to #RepealAndReplace. https://t.co/7SLU4JPLXI,False,841344330337992704
TweetDeck,Wed Mar 01 17:44:24 +0000 2017,.@RepKevinBrady on last night's #JointAddress https://t.co/u3a5qlAYS1,False,836995550885064704
Twitter for iPhone,Sun Jan 29 23:18:40 +0000 2017,RT @POTUS: Statement Regarding Recent Executive Order Concerning Extreme Vetting: https://t.co/junoy06y2R,True,825845649492946944
Twitter Web Client,Mon Mar 20 15:07:38 +0000 2017,RT @GorsuchFacts: .@SenCapito: Gorsuch Right for High Court https://t.co/PH35bAI73M #SCOTUS,True,843841467789561857
TweetDeck,Wed Mar 01 15:02:26 +0000 2017,.@RepKenBuck on last night's #JointAddress https://t.co/2km9jpt0fg,False,836954790160699394
TweetDeck,Wed Mar 01 02:47:12 +0000 2017,"""...to make childcare accessible and more affordable."" #JointAddress #AmericanSpirit https://t.co/sZS81P7ar3",False,836769762218819584
Twitter Web Client,Wed Apr 05 16:26:34 +0000 2017,"Today @POTUS &amp; @FLOTUS welcomed King Abdullah II &amp; Queen Rania of Jordan to the White House.

Watch the press conf:… https://t.co/a40qq8nxZH",False,849659538731147266
Twitter Web Client,Wed Feb 01 01:55:58 +0000 2017,"""This has been the most transparent Supreme Court selection process in the history of our country."" - @POTUS… https://t.co/kOadoSyXDs",False,826610007399682049
Twitter Web Client,Thu Feb 02 14:27:32 +0000 2017,"""America is a nation of believers."" - @POTUS Trump speaking at #nationalprayerbreakfast",False,827161536183480326
TweetDeck,Wed Mar 01 02:50:10 +0000 2017,RT @POTUS: Education is the civil rights issue of our time. I am calling for an education bill that funds school choice for disadvantaged y…,True,836770510344171520
Twitter Web Client,Thu Feb 02 14:34:02 +0000 2017,"""We are all united by our faith... Freedom is not a gift from government... Freedom is a gift from God.” - @POTUS #nationalprayerbreakfast",False,827163172050079746
Twitter Web Client,Wed Feb 01 01:19:30 +0000 2017,RT @SenateMajLdr: My statement on @POTUS' excellent selection of Neil Gorsuch as our next #SCOTUS Justice https://t.co/z7TNYvd0ie,True,826600832992960512
TweetDeck,Wed Mar 01 02:17:04 +0000 2017,#JointAddress https://t.co/INyKLcAhSe,False,836762177574883331
Twitter Web Client,Wed Mar 15 19:29:33 +0000 2017,.@POTUS and @FLOTUS announce details about the 139th White House Easter Egg Roll. Enter the ticket lottery here:… https://t.co/4WOHDtU6y4,False,842095443987333128
Twitter Web Client,Wed Mar 01 02:27:05 +0000 2017,#JointAddress https://t.co/HrWtTQ461F,False,836764701371600897
Twitter Web Client,Sat Mar 25 14:53:33 +0000 2017,RT @POTUS: Weekly Address - 11:00 A.M. today! ➡️https://t.co/CppERgEPBf https://t.co/tDAbRHdAi7,True,845649863761104896
TweetDeck,Wed Mar 01 03:03:07 +0000 2017,RT @PressSec: .@POTUS honors to service and sacrifice of Navy SEAL Chief Ryan Owens #JointAddress,True,836773767468761090
Twitter Web Client,Fri Mar 17 13:29:30 +0000 2017,"RT @VP: Happy St. Patrick's Day! Yesterday I enjoyed a full day of events w/ @EndaKennyTD &amp; @POTUS, capped by the annual Shamrock Ceremony.…",True,842729609145782272
Twitter Web Client,Tue Feb 14 01:42:22 +0000 2017,"Watch LIVE as @POTUS &amp; @VP participate in the swearing-in of Secretary of the Treasury, Steven Mnuchin:… https://t.co/J71mMOgRII",False,831317627750477825
Twitter Web Client,Tue Mar 28 18:11:46 +0000 2017,RT @EPA: .@POTUS is at EPA today to announce an executive order directing us to review the Clean Power Plan. Watch it live: https://t.co/Be…,True,846786910840389632
Twitter for iPhone,Thu Feb 02 01:13:50 +0000 2017,"RT @POTUS: Congratulations to our new Secretary of State Rex Tillerson, sworn-in this evening by @VP Mike Pence. https://t.co/YvLoJZUKj8",True,826961793197232128
Twitter for iPhone,Thu Apr 06 17:58:24 +0000 2017,"RT @POTUS: It was an honor to host our American heroes from the @WWP Solider Ride this morning at the @WhiteHouse w/ @FLOTUS, @VP &amp; @Second…",True,850045037685735426
Twitter for iPhone,Sat Jan 28 22:45:46 +0000 2017,.@POTUS @realDonaldTrump- speaking with Australian Prime Minister Malcolm Turnbull from the Oval Office. https://t.co/6rDjoygXDD,False,825474979953246209
TweetDeck,Wed Mar 01 17:16:13 +0000 2017,.@DrPhilRoe on last night's #JointAddress https://t.co/YcGw3EeDvD,False,836988459877351425
TweetDeck,Wed Mar 01 04:44:15 +0000 2017,.@RepKenMarchant on tonight's #JointAddress https://t.co/uQwYD3ASKC,False,836799220225048576
Twitter Web Client,Thu Feb 23 20:26:51 +0000 2017,RT @Reince45: Thank you for having us! #CPAC2017 https://t.co/XIkQT24Edc,True,834862105438322689
Twitter Web Client,Wed Feb 01 01:19:08 +0000 2017,RT @SpeakerRyan: Judge Neil Gorsuch is a phenomenal nominee for the #SCOTUS. https://t.co/qQIeFmXE3O https://t.co/QoiGqCZ2dH,True,826600739191521280
TweetDeck,Wed Mar 01 04:38:15 +0000 2017,RT @SenPatRoberts: I gave my thoughts on @POTUS' #JointAddress tonight. Watch here: https://t.co/zPgBZRGWdJ,True,836797707956125700
Twitter for iPhone,Wed Jan 25 14:58:17 +0000 2017,RT @POTUS: Great! #Dow20K https://t.co/wXFhXBLgag,True,824270172462739456
Twitter Web Client,Wed Feb 01 01:25:12 +0000 2017,"RT @GorsuchFacts: Judge Gorsuch defends the Constitution &amp; protects individual rights, incl religious liberty, against gov't attack. #Justi…",True,826602268116078593
Twitter Web Client,Tue Mar 21 16:43:07 +0000 2017,.@POTUS announced his intent to nominate Judge Amul R. Thapar for the U.S. Court of Appeals for the Sixth Circuit: https://t.co/ZrCDex1gJc,False,844227883526688769
Twitter Web Client,Thu Mar 30 14:35:35 +0000 2017,"Today @POTUS welcomes the Prime Minister of Denmark, @larsloekke, to the White House. https://t.co/htp6HYTbvs",False,847457281457266693
TweetDeck,Wed Mar 01 21:48:19 +0000 2017,Meet the special guests that attended @POTUS Trump's #JointAddress: https://t.co/LZzhmbilf1,False,837056933777534983
Twitter for iPhone,Thu Jan 26 00:17:53 +0000 2017,"RT @realDonaldTrump: Beginning today, the United States of America gets back control of its borders. Full speech from today @DHSgov: https:…",True,824410997641338880
TweetDeck,Mon Apr 17 14:23:01 +0000 2017,Watch LIVE as @POTUS participates in the 139th #EasterEggRoll on the South Lawn: https://t.co/PXtgORxwVz https://t.co/9Tj3Zj8S7w,False,853977099576778752
Twitter Web Client,Tue Jan 31 22:33:29 +0000 2017,RT @POTUS: Highlights From The President’s Listening Session With Pharmaceutical Industry Leaders at the @WhiteHouse today: https://t.co/YM…,True,826559051240730624
TweetDeck,Wed Mar 01 03:58:46 +0000 2017,.@SenatorIsakson on tonight's #JointAddress https://t.co/LsB5nltXJn,False,836787773164126209
Twitter for iPhone,Fri Mar 31 17:42:48 +0000 2017,RT @Reince45: American manufacturers are feeling optimistic &amp; there's confidence in the economy again thanks to @POTUS pro-growth agenda &amp;…,True,847866781897281536
Twitter for iPhone,Wed Jan 25 00:47:18 +0000 2017,RT @realDonaldTrump: Great meeting with Ford CEO Mark Fields and General Motors CEO Mary Barra at the @WhiteHouse today. https://t.co/T0eIg…,True,824056015230472197
TweetDeck,Wed Mar 01 04:56:54 +0000 2017,.@JerryMoran on tonight's #JointAddress https://t.co/Yc8uqCD8fz,False,836802404284780545
Twitter Web Client,Mon Apr 10 17:19:49 +0000 2017,RT @Reince45: Congratulations to Associate Justice Gorsuch. Yet another major promise kept by @POTUS as this exceptional man is sworn in to…,True,851484879535648769
Twitter Web Client,Wed Feb 01 01:12:28 +0000 2017,RT @POTUS: #JusticeGorsuch #SCOTUS https://t.co/Y96Hi2bbIj,True,826599060949839872
Twitter for iPhone,Wed Apr 19 07:35:08 +0000 2017,RT @VP: Honored to receive the Mt. Fuji Dialogue Global Leadership Award today in Tokyo. #VPinASIA https://t.co/ULFGhrXeER,True,854599228638851073
Twitter Web Client,Wed Feb 01 01:06:04 +0000 2017,RT @GorsuchFacts: BREAKING: @POTUS Trump has nominated Judge Neil Gorsuch for #SCOTUS! #JusticeGorsuch https://t.co/Ugj1Kv3Xp2,True,826597453411581953
Twitter for iPhone,Sat Feb 11 21:24:05 +0000 2017,"President Trump Approves Oklahoma Disaster Declaration
https://t.co/2I65tyIYl3",False,830527853217341440
Twitter Web Client,Tue Mar 21 14:25:50 +0000 2017,Join us LIVE as @POTUS signs the NASA Transition Authorization Act of 2017: https://t.co/5Vij4Hxejg https://t.co/43WyVVzVyq,False,844193336198086656
Twitter Web Client,Mon Mar 20 22:16:17 +0000 2017,RT @GorsuchFacts: #ICYMI: Watch Judge Gorsuch's moving opening remarks at today's @senjudiciary Committee hearing (1/2) #ConfirmGorsuch htt…,True,843949341018656768
Twitter Web Client,Thu Apr 06 19:17:24 +0000 2017,"Today, @POTUS and @FLOTUS will welcome the President of the People's Republic of China, Xi Jinping, and Madame Peng… https://t.co/jbe9kBUvPb",False,850064917138984961
Twitter Web Client,Fri Mar 03 22:18:38 +0000 2017,RT @POTUS: MAKE AMERICA GREAT AGAIN! https://t.co/O08AlsWQzu,True,837789338423427074
TweetDeck,Wed Mar 01 03:55:57 +0000 2017,.@RepByrne on tonight's #JointAddress https://t.co/NwMKE9damW,False,836787066042265602
Twitter for iPhone,Fri Mar 10 15:44:25 +0000 2017,"RT @POTUS: Weekly Address - 11:00 A.M. at the @WhiteHouse! #MAGA🇺🇸
➡️https://t.co/EMAjO07GuJ https://t.co/RjOook4k0I",True,840226846075691008
Twitter Web Client,Thu Mar 16 17:53:25 +0000 2017,"Join us LIVE as @VP Pence participates in the swearing-in of the Director of National Intelligence, Dan Coats:… https://t.co/RBuHzMeRAq",False,842433636142063616
TweetDeck,Sat Mar 11 17:56:01 +0000 2017,.@POTUS Trump's First 50 Days in Photos: https://t.co/yTLiyjle6I https://t.co/VdvLX5KzSH,False,840622350815105024
Twitter for iPhone,Thu Apr 06 17:53:28 +0000 2017,"This morning @POTUS, @FLOTUS, @VP, and @SecondLady welcomed heroes from the @wwp #SoldierRideDC in the East Room:… https://t.co/nSgjFwMFam",False,850043793961357312
Media Studio,Sun Mar 26 15:03:05 +0000 2017,#ICYMI: Watch @POTUS' Weekly Address https://t.co/LYY3iEzV7G https://t.co/cwyJ8I7jQo,False,846014649724104705
TweetDeck,Wed Mar 01 03:54:21 +0000 2017,.@RepDianeBlack on tonight's #JointAddress https://t.co/SzIw4GlIu3,False,836786662810210305
Twitter Web Client,Wed Mar 08 18:39:01 +0000 2017,"RT @POTUS: On International Women's Day, join me in honoring the critical role of women here in America &amp; around the world. https://t.co/eA…",True,839546008543576064
TweetDeck,Wed Mar 01 15:04:40 +0000 2017,.@RepHultgren on last night's #JointAddress https://t.co/4gBHwhVkEg,False,836955353774436352
Twitter Web Client,Tue Mar 14 16:24:46 +0000 2017,RT @fema: Brrr... it's cold out there ❄️❄️ but give your space heater space! Follow the 3 ft rule and turn it off before going to bed. #bli…,True,841686554246541312
Twitter Web Client,Thu Apr 20 17:15:46 +0000 2017,"Today @POTUS welcomes the Prime Minister of Italy, Paolo Gentiloni, to the White House. 

Joint press conference:… https://t.co/nsXcRLTUiQ",False,855107737386143744
Twitter Web Client,Fri Mar 24 13:14:47 +0000 2017,RT @VP: This is our moment to end the Obamacare nightmare and replace it with a plan that lowers costs &amp; improves care. #PassTheBill https:…,True,845262618713579522
Twitter Web Client,Sat Mar 25 17:01:00 +0000 2017,RT @VP: Landed in Charleston! @SBALinda &amp; I are headed to Foster Supply to meet the small businesses that are the backbone of our economy.…,True,845681937410904069
Twitter for iPhone,Thu Jan 26 02:22:59 +0000 2017,"RT @realDonaldTrump: As your President, I have no higher duty than to protect the lives of the American people. https://t.co/o7YNUNwb8f",True,824442482633113601
Twitter Web Client,Wed Mar 15 19:14:56 +0000 2017,"RT @POTUS: ""We are not simply here to honor the past, but to devote ourselves to a new future of American Automotive Leadership."" 🇺🇸 https:…",True,842091762432802816
Twitter Web Client,Fri Mar 10 18:41:20 +0000 2017,Tune in to @PressSec live: https://t.co/T1KUs4x23Q https://t.co/VFks70tRhj,False,840271366855241728
Media Studio,Sat Mar 18 19:20:05 +0000 2017,Stories like Ms. Sertich's are why @POTUS is fighting to #RepealAndReplace #Obamacare. Share your story here:… https://t.co/jGveManT5g,False,843180221800960001
Twitter Web Client,Wed Feb 01 01:45:49 +0000 2017,RT @GorsuchFacts: 11 current Dem Senators &amp; 20 current GOP Senators were in office when Judge Gorsuch was confirmed w/out oppo in '06. #Jus…,True,826607453856989184
TweetDeck,Wed Mar 01 03:13:21 +0000 2017,"""And believe, once more, in AMERICA."" #JointAddress #AmericanSpirit https://t.co/Mm1HBAtKMl",False,836776343014682624
TweetDeck,Fri Feb 17 22:42:27 +0000 2017,Join us LIVE as Justice Samuel Alito participates in the swearing-in of @EPA Administrator Scott Pruitt:… https://t.co/67fNfEs7gP,False,832721903563464704
TweetDeck,Thu Mar 02 22:53:49 +0000 2017,Watch LIVE as @VP Pence participates in the swearing-in ceremony for @HUDgov Secretary Dr. Ben Carson:… https://t.co/GcQ52QRBMf,False,837435803865337856
Media Studio,Sun Mar 19 16:13:04 +0000 2017,Stories like Dr. Sethi's are why @POTUS is fighting to #RepealAndReplace #Obamacare. Share your story here:… https://t.co/naEF8zQezB,False,843495547407290368
Twitter for iPhone,Fri Mar 31 18:38:39 +0000 2017,"RT @PressSec: On Sun, @WhiteHouse will honor World Autism Awareness Day &amp; #LightItUpBlue to join w/ the autism awareness community https://…",True,847880838968741888
Media Studio,Fri Mar 03 21:12:06 +0000 2017,ICYMI: Watch @POTUS Trump's Weekly Address from the PCU Gerald R. Ford https://t.co/vi7eJ7EGF4 https://t.co/26USQM5biu,False,837772593616691200
Twitter Web Client,Tue Mar 21 18:28:49 +0000 2017,#ICYMI: Watch @POTUS sign the NASA Transition Authorization Act of 2017: https://t.co/5Vij4Hxejg https://t.co/PuhEB7xBzN,False,844254485593673728
TweetDeck,Wed Mar 01 03:06:58 +0000 2017,RT @POTUS: Think of the marvels we can achieve if we simply set free the dreams of our people. #AmericanSpirit #JointAddress,True,836774738034896897
TweetDeck,Fri Mar 31 14:29:46 +0000 2017,Watch LIVE as @POTUS makes an announcement with the @ShopFloorNAM: https://t.co/CO39DgDL3i https://t.co/Cr9DBuiRqu,False,847818207109029888
TweetDeck,Wed Mar 01 02:21:35 +0000 2017,RT @POTUS: I have issued a new directive that American pipelines must be made with American steel. #JointAddress #AmericanSpirit,True,836763315384766466
TweetDeck,Wed Mar 01 04:00:29 +0000 2017,.@RepMcKinley on tonight's #JointAddress https://t.co/xAdT6JNgI0,False,836788206762881024
TweetDeck,Wed Mar 01 02:23:42 +0000 2017,RT @POTUS: My Administration has answered the pleas of the American people for immigration enforcement and border security. #JointAddress,True,836763848858284032
TweetDeck,Thu Mar 02 19:24:49 +0000 2017,"Happening now: @POTUS Trump delivers remarks at the PCU Gerald R. Ford in Newport News, VA https://t.co/2DribMxC5j https://t.co/3bjzpNJTQs",False,837383210682236929
TweetDeck,Wed Mar 01 04:26:15 +0000 2017,.@PatrickMcHenry on tonight's #JointAddress https://t.co/d89Dx682Mn,False,836794688065667072
Twitter for iPhone,Tue Apr 04 15:08:49 +0000 2017,RT @POTUS: It was an honor to welcome President Al Sisi of Egypt to the @WhiteHouse as we renew the historic partnership between the U.S. a…,True,849277582533173248
TweetDeck,Mon Mar 27 21:18:02 +0000 2017,Take a 360° look inside of the historic Oval Office: https://t.co/G1DozXfZBj,False,846471396184199168
Twitter Web Client,Wed Feb 22 20:06:32 +0000 2017,RT @VP: LISTEN LIVE now as I join hardworking Americans in Missouri to discuss America's economic comeback: https://t.co/VgPq0m37zR,True,834494603680215040
Twitter Web Client,Wed Apr 19 16:12:07 +0000 2017,Watch LIVE as @POTUS welcomes the New England @Patriots to the White House: https://t.co/D5maU9wBKL https://t.co/cK1g9MrY6f,False,854729333100949504
Twitter for iPhone,Tue Jan 24 18:08:10 +0000 2017,RT @realDonaldTrump: Signing orders to move forward with the construction of the Keystone XL and Dakota Access pipelines in the Oval Office…,True,823955568566145024
Twitter Web Client,Fri Jan 27 22:01:47 +0000 2017,RT @realDonaldTrump: Congratulations Secretary Mattis! https://t.co/mkuhbegzqS,True,825101522212093953
Twitter for iPhone,Fri Feb 03 00:12:35 +0000 2017,"RT @POTUS: 'Trump taps first woman to CIA second in command'
https://t.co/15yzhsH6Qq",True,827308768748769280
Twitter for iPhone,Thu Jan 26 19:28:08 +0000 2017,"RT @realDonaldTrump: Spoke at the Congressional @GOP Retreat in Philadelphia, PA. this afternoon w/ @VP, @SenateMajLdr, @SpeakerRyan. Thank…",True,824700466818936832
